id,school,level,x,y,safety,attendance,misconduct,instr,teachers,leaders,outlier_score,cluster_x,cluster_y,cluster,behavior_score,academic_score,safety_dev,attendance_dev,misconduct_dev,instr_dev
211,Virgil Grissom Elementary School,ES,1.2148603311114772,0.8016610636702375,62.0,95.5,2.5,64.0,87.0,69.0,21.9652575014387,High,High,High-High,94.11224396068705,64.0,10.466063348416291,0.9040723981900385,-16.78190045248869,12.475113122171948
212,Walter L Newberry Math & Science Academy Elementary School,ES,2.1919900757647524,-1.1046345903099362,71.0,95.1,2.1,66.0,44.0,41.0,11.58682577122191,High,Low,High-Low,95.26958758151925,66.0,19.46606334841629,0.5040723981900328,-17.181900452488687,14.475113122171948
213,Walter Q Gresham Elementary School,ES,-1.2648015881375982,1.272019945848757,25.0,95.5,35.4,11.0,57.0,68.0,65.10300784768526,Low,High,Low-High,60.49416735556168,11.0,-26.53393665158371,0.9040723981900385,16.11809954751131,-40.52488687782805
214,Wendell Smith Elementary School,ES,-4.42051776957539,-0.2464908216509307,22.0,92.1,90.0,1.0,29.0,31.0,94.38359475700244,Low,Mid,Low-Mid,9.754753375585565,1.0,-29.53393665158371,-2.495927601809967,70.71809954751131,-50.52488687782805
215,West Pullman Elementary School,ES,-2.132267997604331,0.6949141179217222,23.0,91.2,7.6,47.0,50.0,57.0,35.108188323712284,Low,High,Low-High,85.45053733810968,47.0,-28.53393665158371,-3.3959276018099587,-11.681900452488689,-4.524886877828052
216,Whitney M Young Magnet High School,HS,4.406228202037785,-3.289852067590913,95.0,94.6,1.2,67.0,46.0,52.0,29.53885055219066,High,Low,High-Low,98.25479930191973,67.0,22.5,2.9499999999999886,-3.4499999999999993,2.5
217,Wildwood Elementary School,ES,2.910629894596003,-1.4421245320728646,99.0,96.2,1.0,67.0,45.0,55.0,28.236282772040415,High,Low,High-Low,98.95287958115182,67.0,47.46606334841629,1.6040723981900413,-18.28190045248869,15.475113122171948
218,Willa Cather Elementary School,ES,2.434674471930005,2.4089615779854787,69.0,94.9,29.5,81.0,83.0,62.0,39.36152977936698,High,High,High-High,69.89988059153119,81.0,17.46606334841629,0.30407239819004417,10.218099547511311,29.475113122171948
219,William Bishop Owen Scholastic Academy Elementary School,ES,1.19827491627834,-0.6718199071205666,49.0,96.9,1.2,56.0,47.0,51.0,13.498879871500671,High,Low,High-Low,94.24083769633508,56.0,-2.5339366515837085,2.304072398190044,-18.08190045248869,4.475113122171948
220,William C Goudy Elementary School,ES,1.9309295749954865,0.1158212882033976,70.0,96.1,6.0,61.0,52.0,65.0,8.593505041404065,High,Mid,High-Mid,91.68733351703867,61.0,18.46606334841629,1.5040723981900328,-13.281900452488689,9.475113122171948
221,William C Reavis Math & Science Specialty Elementary School,ES,-2.8310512161226504,-1.995922145530276,48.0,93.5,37.2,26.0,15.0,10.0,50.08358985868183,Low,Low,Low-Low,60.76972536052172,26.0,-3.5339366515837085,-1.0959276018099615,17.918099547511314,-25.524886877828052
222,William E Dever Elementary School,ES,1.5393237465109932,-1.116837901155003,67.0,95.5,2.1,78.0,36.0,37.0,23.878827566934017,High,Low,High-Low,94.93891797556718,78.0,15.466063348416291,0.9040723981900385,-17.181900452488687,26.475113122171948
223,William F Finkl Elementary School,ES,0.2481449281823285,-0.064335129435907,56.0,95.2,6.7,52.0,56.0,41.0,3.6219547157171483,Mid,Mid,Mid-Mid,89.67576008083033,52.0,4.4660633484162915,0.6040723981900413,-12.58190045248869,0.47511312217194757
224,William H Brown Elementary School,ES,-0.6396384590810121,2.9821921572381593,36.0,92.8,59.0,78.0,73.0,74.0,71.37994218898963,Mid,High,Mid-High,39.57931477909433,78.0,-15.533936651583709,-1.7959276018099644,39.718099547511315,26.475113122171948
225,William H Seward Communication Arts Academy Elementary School,ES,-0.4841261824240719,0.556914398062023,40.0,95.7,14.4,41.0,63.0,66.0,13.120795058449039,Mid,High,Mid-High,81.17938826122898,41.0,-11.533936651583709,1.1040723981900413,-4.881900452488688,-10.524886877828052
226,William J & Charles H Mayo Elementary School,ES,-0.1677482802536742,0.4416646947235604,52.0,95.3,26.0,65.0,47.0,52.0,14.178682255837977,Mid,Mid,Mid-Mid,71.58996968861946,65.0,0.4660633484162915,0.7040723981900356,6.718099547511311,13.475113122171948
227,William J Onahan Elementary School,ES,0.3781032228083903,-1.9747108648793443,64.0,95.7,6.9,27.0,39.0,32.0,23.266687751422698,Mid,Low,Mid-Low,90.27280242491044,27.0,12.466063348416291,1.1040723981900413,-12.381900452488688,-24.524886877828052
228,William K New Sullivan Elementary School,ES,-2.615517105874058,0.6963275367742985,27.0,90.3,27.3,40.0,33.0,58.0,38.78202961025008,Low,High,Low-High,67.64030495085883,40.0,-24.53393665158371,-4.295927601809964,8.018099547511312,-11.524886877828052
229,William W Carter Elementary School,ES,-2.458796717285346,1.3805929061533555,13.0,91.2,27.0,35.0,62.0,56.0,42.702539074907904,Low,High,Low-High,66.71259300082667,35.0,-38.53393665158371,-3.3959276018099587,7.718099547511311,-16.524886877828052
