id,school,level,x,y,safety,attendance,misconduct,instr,teachers,leaders,outlier_score,cluster_x,cluster_y,cluster,behavior_score,academic_score,safety_dev,attendance_dev,misconduct_dev,instr_dev
76,Frank W Gunsaulus Elementary Scholastic Academy,ES,-1.1050931329336606,-0.7723317295097286,46.0,96.6,87.3,45.0,14.0,34.0,91.33675484955803,Low,Low,Low-Low,14.85257646734638,45.0,-5.5339366515837085,2.004072398190033,68.01809954751131,-6.524886877828052
77,Frazier Prospective IB Magnet Elementary School,ES,2.24021799143782,-0.1816842678989033,60.0,96.8,7.2,72.0,55.0,42.0,13.853857322443353,High,Mid,High-Mid,89.73087168182236,72.0,8.466063348416291,2.2040723981900356,-12.08190045248869,20.475113122171948
78,Frederic Chopin Elementary School,ES,6.783363923372202,2.789160928806721,86.0,96.9,1.7,99.0,99.0,97.0,69.79616706148364,High,High,High-High,97.18012308257555,99.0,34.46606334841629,2.304072398190044,-17.58190045248869,47.47511312217195
79,Galileo Math & Science Scholastic Academy Elementary School,ES,0.0907305158308867,-1.3888250666358402,65.0,95.0,3.1,42.0,33.0,56.0,16.52504866235984,Mid,Low,Mid-Low,93.790759621567,42.0,13.466063348416291,0.4040723981900385,-16.181900452488687,-9.524886877828052
80,Garrett A Morgan Elementary School,ES,-1.8323835189409268,0.1987963745836573,28.0,92.0,10.0,55.0,36.0,46.0,21.18047593223917,Low,Mid,Low-Mid,83.7788187746854,55.0,-23.53393665158371,-2.5959276018099615,-9.281900452488689,3.4751131221719476
81,George Armstrong International Studies Elementary School,ES,1.080540006775387,-0.4464717881118909,59.0,96.3,8.1,64.0,45.0,53.0,4.970908397665175,High,Mid,High-Mid,88.76641866446221,64.0,7.4660633484162915,1.7040723981900356,-11.181900452488689,12.475113122171948
82,George B Swift Elementary Specialty School,ES,1.2554755139044664,0.057121487446493,61.0,96.3,6.0,60.0,59.0,61.0,6.8704908689544295,High,Mid,High-Mid,90.87903003582255,60.0,9.466063348416291,1.7040723981900356,-13.281900452488689,8.475113122171948
83,George F Cassell Elementary School,ES,0.6619891479292832,-0.1619287431175601,76.0,94.4,13.8,36.0,61.0,66.0,27.74340274579566,Mid,Mid,Mid-Mid,84.91779186185359,36.0,24.46606334841629,-0.19592760180995583,-5.481900452488688,-15.524886877828052
84,George Washington Elementary School,ES,1.7965484389775055,1.097810978937778,58.0,95.5,5.6,43.0,76.0,80.0,13.084234970302685,High,High,High-High,90.89740056948654,43.0,6.4660633484162915,0.9040723981900385,-13.681900452488689,-8.524886877828052
85,George W Tilton Elementary School,ES,-4.058218060337809,0.1356311369214387,6.0,91.4,65.5,41.0,44.0,25.0,59.734274681275544,Low,Mid,Low-Mid,30.72471755304492,41.0,-45.53393665158371,-3.195927601809956,46.218099547511315,-10.524886877828052
