school,level,lat,lon,attendance,safety,misconduct,cluster,outlier_score,behavior_score,academic_score
Edward N Hurley Elementary School,ES,41.7667583,-87.71950804,95.4,77.0,12.2,,,,
Edward Tilden Career Community Academy High School,HS,41.80751207,-87.64292985,78.4,34.0,13.0,,,,
Edward White Elementary Career Academy,ES,41.67233661,-87.65055321,93.8,27.0,31.0,,,,
Edwin G Foreman High School,HS,41.93981043,-87.7541302,84.3,26.0,10.3,,,,
Elaine O Goodlow Elementary Magnet School,ES,41.78125258,-87.67555599,91.6,44.0,47.5,,,,
Elihu Yale Elementary School,ES,41.76644232,-87.63209571,89.7,29.0,67.2,,,,
Eli Whitney Elementary School,ES,41.84006197,-87.7255084,95.8,44.0,11.6,,,,
Elizabeth H Sutherland Elementary School,ES,41.71142687,-87.67678398,95.6,86.0,6.8,,,,
Elizabeth Peabody Elementary School,ES,41.89986912,-87.66419014,95.2,51.0,7.6,,,,
Eliza Chappell Elementary School,ES,41.975867,-87.68325438,95.1,70.0,2.9,,,,
Ella Flagg Young Elementary School,ES,41.90678358,-87.76717934,94.3,31.0,3.0,,,,
Ellen H Richards Career Academy High School,HS,41.80285552,-87.66224052,90.6,30.0,17.3,,,,
Ellen Mitchell Elementary School,ES,41.89205482,-87.68317867,95.5,99.0,12.2,,,,
Emil G Hirsch Metropolitan High School,HS,41.7537612,-87.60176452,84.8,13.0,47.1,,,,
Emiliano Zapata Elementary Academy,ES,41.84139181,-87.73434997,96.6,60.0,2.8,,,,
Emmett Louis Till Math and Science Academy,ES,41.77544062,-87.60932095,88.0,31.0,95.7,,,,
Enrico Fermi Elementary School,ES,41.76772772,-87.59039017,89.9,30.0,101.2,,,,
Enrico Tonti Elementary School,ES,41.78750499,-87.70814201,95.8,,2.1,,,,
Eric Solorio Academy High School,HS,41.79518118,-87.71109447,92.2,67.0,3.0,,,,
Ernst Prussing Elementary School,ES,41.96561054,-87.77245066,95.4,71.0,23.4,,,,
Esmond Elementary School,ES,41.68939069,-87.66916143,92.9,36.0,34.0,,,,
Eugene Field Elementary School,ES,42.00966462,-87.66994862,96.8,42.0,10.0,,,,
Everett McKinley Dirksen Elementary School,ES,41.97368728,-87.84105162,95.9,44.0,2.7,,,,
Evergreen Academy Middle School,MS,41.829365,-87.66778007,96.1,60.0,5.5,,,,
Fairfield Elementary Academy,ES,41.78086789,-87.69207758,93.4,31.0,43.4,,,,
Federico Garcia Lorca Elementary School,ES,41.94001885,-87.72474354,96.8,53.0,43.8,,,,
Ferdinand Peck Elementary School,ES,41.78792632,-87.71922211,96.3,51.0,1.2,,,,
Fernwood Elementary School,ES,41.71119799,-87.6403774,93.4,29.0,29.0,,,,
Florence B Price Elementary School,ES,41.81534262,-87.6038735,90.0,20.0,156.6,,,,
Florence Nightingale Elementary School,ES,41.79774019,-87.68917624,95.6,35.0,9.4,,,,
Fort Dearborn Elementary School,ES,41.72966698,-87.65544435,93.4,34.0,24.5,,,,
Foster Park Elementary School,ES,41.7384262,-87.66813597,93.7,11.0,33.6,,,,
Francisco I Madero Middle School,MS,41.84098398,-87.70508585,95.1,49.0,7.1,,,,
Francis M McKay Elementary School,ES,41.76810662,-87.69174944,93.5,23.0,9.1,,,,
Francis Parkman Elementary School,ES,41.80169919,-87.63297392,90.6,38.0,20.7,,,,
Francis Scott Key Elementary School,ES,41.88983589,-87.76633519,91.9,37.0,39.6,,,,
Francis W Parker Elementary Community Academy,ES,41.77079606,-87.6353099,91.9,30.0,39.0,,,,
Frank I Bennett Elementary School,ES,41.71041656,-87.61735342,92.5,46.0,6.5,,,,
Frank L Gillespie Elementary School,ES,41.72529635,-87.62368165,91.9,27.0,2.1,,,,
Franklin Elementary Fine Arts Center,ES,41.90657253,-87.6355136,95.9,87.0,5.6,,,,
Frank W Gunsaulus Elementary Scholastic Academy,ES,41.81299531,-87.69940042,96.6,46.0,87.3,,,,
Frank W Reilly Elementary School,ES,41.94112155,-87.71953058,97.0,48.0,8.7,,,,
Franz Peter Schubert Elementary School,ES,41.93038593,-87.76115305,95.8,,2.1,,,,
Frazier Prospective IB Magnet Elementary School,ES,41.86695871,-87.72631742,96.8,60.0,7.2,,,,
Frederic Chopin Elementary School,ES,41.89674048,-87.68890154,96.9,86.0,1.7,,,,
Frederick A Douglass Academy High School,HS,41.89037849,-87.76763207,79.2,44.0,28.0,,,,
Frederick Funston Elementary School,ES,41.91762127,-87.71692852,94.7,16.0,16.8,,,,
Frederick Stock Elementary School,ES,42.0168639,-87.81420664,72.4,,0.0,,,,
Friedrich Ludwig Jahn Elementary School,ES,41.93924404,-87.67577282,94.7,72.0,19.9,,,,
Friedrich W von Steuben Metropolitan Science High School,HS,41.9731926,-87.71334969,87.0,70.0,4.0,,,,
Gage Park High School,HS,41.79101352,-87.68899064,72.5,14.0,19.5,,,,
Galileo Math & Science Scholastic Academy Elementary School,ES,41.87124634,-87.65340205,95.0,65.0,3.1,,,,
Garrett A Morgan Elementary School,ES,41.74124549,-87.64007166,92.0,28.0,10.0,,,,
Genevieve Melody Elementary School,ES,41.87474954,-87.73051772,92.1,61.0,26.0,,,,
George Armstrong International Studies Elementary School,ES,42.01017628,-87.68446868,96.3,59.0,8.1,,,,
George B McClellan Elementary School,ES,41.82998962,-87.64106579,93.2,49.0,7.8,,,,
George B Swift Elementary Specialty School,ES,41.98915734,-87.65833342,96.3,61.0,6.0,,,,
George F Cassell Elementary School,ES,41.68733881,-87.70325179,94.4,76.0,13.8,,,,
