school,x,y,level,safety,attendance,misconduct,instr,teachers
609969,2.265524921222668,1.0957271870940921,ES,63.0,94.2,17.9,76.0,48.0
610106,-5.1392681803685925,0.5791295134783373,ES,27.0,90.6,65.8,31.0,48.0
610317,0.4123704518177056,0.6317891485535739,ES,55.0,96.3,2.6,43.0,48.0
610381,-1.2830818030521811,-3.1953093796664422,HS,41.0,92.3,16.2,43.0,15.0
609821,4.633202181233173,3.374970194864903,ES,61.0,95.5,29.4,99.0,71.0
609827,0.17387823429421476,0.1408355873469446,ES,51.0,94.9,8.9,70.0,48.0
610353,0.5340177272972861,2.131431177637833,ES,58.0,96.5,1.9,72.0,55.0
609729,-1.2337033102983417,-3.4806029579714033,HS,48.0,81.2,13.8,29.0,31.0
610039,2.3761524007606747,1.109770798547074,ES,68.0,95.8,1.8,75.0,44.0
610238,-1.2649367648131926,1.3855255463168743,ES,54.0,91.7,18.8,63.0,32.0
609839,-2.2983059239291115,-1.078168613839382,ES,35.0,94.8,27.8,12.0,48.0
610345,-6.68029635200988,-2.1037174833095675,ES,26.0,91.9,70.5,1.0,41.0
610148,0.6291606811819179,1.851483922957245,ES,54.0,95.1,11.1,52.0,50.0
609679,-0.48030400900270853,-2.358236943696915,HS,59.0,86.0,9.7,51.0,44.0
610005,-0.004909719558081965,1.865726795015257,ES,42.0,94.4,0.0,72.0,48.0
609879,1.0484160587961011,0.1985957373230199,ES,44.0,95.7,35.6,30.0,54.0
609966,-0.9430865729441872,0.3953849696047534,ES,40.0,95.3,8.5,43.0,48.0
610366,-0.2016389323374723,0.5417110968978925,ES,32.0,93.4,11.5,32.0,48.0
610030,-4.547048629101557,-0.4918676218584945,ES,36.0,92.0,55.6,40.0,48.0
609996,0.2446518244630399,-0.12206729827157456,ES,53.0,94.9,4.7,35.0,51.0
609833,-2.963752023833239,-0.3452412615286009,ES,25.0,92.7,30.7,44.0,25.0
609732,-1.7650061760839253,-3.3443063235100845,HS,26.0,79.2,30.4,34.0,32.0
609875,-0.9044743275922685,-0.12715182370367495,ES,58.0,95.6,33.8,34.0,46.0
609986,-4.565943291751761,0.7192920669688908,ES,16.0,89.2,80.6,38.0,48.0
609813,-1.8817920581661725,0.383088676072176,ES,20.0,92.8,14.1,82.0,19.0
609883,-2.8295261467231456,1.3954563854577702,ES,55.0,93.8,39.5,51.0,49.0
610194,-1.91918426373997,-0.7538135056889117,ES,41.0,93.9,12.3,48.0,34.0
609897,-0.9292560277597612,1.9839685725489766,ES,24.0,93.8,16.9,71.0,48.0
610248,4.101248472276374,-1.3350767442425602,ES,66.0,96.3,6.0,22.0,48.0
610340,0.005427767614148527,-1.2107716025184847,HS,58.0,93.1,6.3,53.0,57.0
609753,0.5030135287469687,-0.7663053715477115,HS,87.0,92.8,5.2,47.0,40.0
