school,x,y,level,safety,attendance,misconduct,instr,teachers,outlier_score,cluster_x,cluster_y,cluster,behavior_score,academic_score,safety_dev,instr_dev,misconduct_dev
610060,9.595753797687887,-2.573842176607352,ES,86.0,97.4,0.7,46.0,48.0,9.843951391295304,High,Low,High-Low,99.22432992857692,46.0,36.62770562770563,-3.164502164502167,-21.814718614718615
609869,-2.1563945863994105,0.9586842498885795,ES,31.0,91.8,29.0,32.0,50.0,6.315694669357071,Low,High,Low-High,86.03025881268721,32.0,-18.37229437229437,-17.164502164502167,6.485281385281386
610084,14.429387241087115,1.7374505623404006,ES,99.0,97.5,4.9,82.0,82.0,13.408969342334206,High,High,High-High,98.1145841333231,82.0,49.62770562770563,32.83549783549783,-17.614718614718612
610229,2.7771436979141595,-0.5799534077016109,ES,59.0,94.6,36.5,61.0,48.0,13.324162288265615,High,Mid,High-Mid,84.33300053759312,61.0,9.62770562770563,11.835497835497833,13.985281385281386
610277,-2.6573854052051127,2.5812256907667868,ES,32.0,90.5,24.9,76.0,48.0,13.048413978702666,Low,High,Low-High,87.59311880807927,76.0,-17.37229437229437,26.835497835497833,2.3852813852813846
609951,0.8708076159800295,-0.2955726674356665,ES,48.0,95.5,5.4,47.0,48.0,0.7523533901587449,High,Mid,High-Mid,95.8874126411182,47.0,-1.3722943722943697,-2.164502164502167,-17.114718614718612
610161,-2.5737521866767334,1.3043459272814728,ES,33.0,94.2,31.2,59.0,48.0,7.442838253785679,Low,High,Low-High,85.35442746332846,59.0,-16.37229437229437,9.835497835497833,8.685281385281385
610171,-3.261095362145834,0.40127253045756195,ES,27.0,92.8,11.8,54.0,48.0,7.829818710714736,Low,Mid,Low-Mid,92.51977574687045,54.0,-22.37229437229437,4.835497835497833,-10.714718614718613
610037,-3.4434791277179086,1.233814626484987,ES,36.0,90.8,21.6,60.0,48.0,7.904776474108348,Low,High,Low-High,89.02542047461793,60.0,-13.37229437229437,10.835497835497833,-0.9147186147186126
609887,0.5640601226350614,0.0753862213286421,ES,47.0,94.8,32.2,52.0,48.0,8.964724331138076,Mid,Mid,Mid-Mid,85.53106520236543,52.0,-2.3722943722943697,2.835497835497833,9.685281385281389
