school,level,lat,lon,attendance,safety,misconduct,cluster,outlier_score,behavior_score,academic_score,safety_dev,misconduct_dev,attendance_dev,instr_dev
Chicago High School for Agricultural Sciences,HS,41.69119388,-87.71773863,92.8,87.0,5.2,,,,,,,,
Chicago Military Academy High School,HS,41.83053768,-87.61917837,90.3,32.0,28.2,,,,,,,,
Chicago Vocational Career Academy High School,HS,41.73720173,-87.57324389,68.8,27.0,33.3,,,,,,,,
Christian Ebinger Elementary School,ES,42.00443557,-87.81116435,95.9,78.0,9.3,High-Low,38.098485222813395,89.37264627537431,50.0,26.46606334841629,-9.981900452488688,1.3040723981900442,-1.5248868778280524
Christian Fenger Academy High School,HS,41.68993885,-87.63760833,74.4,36.0,49.8,,,,,,,,
Christopher Columbus Elementary School,ES,41.89958139,-87.68190167,95.5,66.0,2.4,,,,,,,,
Clara Barton Elementary School,ES,41.75421962,-87.67096453,91.7,25.0,25.3,Low-High,48.03183754601724,69.4222467162671,34.0,-26.53393665158371,6.018099547511312,-2.8959276018099587,-17.524886877828052
Claremont Academy Elementary School,ES,41.77753754,-87.68108634,92.5,36.0,64.2,Low-High,45.34169270707164,34.77542022595757,51.0,-15.533936651583709,44.91809954751132,-2.0959276018099615,-0.5248868778280524
Collins Academy High School,HS,41.86416169,-87.70200761,91.4,60.0,2.9,,,,,,,,
Columbia Explorers Elementary Academy,ES,41.81105689,-87.70423481,95.4,59.0,8.9,High-High,11.240490967651777,87.94892991641406,63.0,7.4660633484162915,-10.381900452488688,0.8040723981900442,11.475113122171948
Countee Cullen Elementary School,ES,41.70036107,-87.61128176,94.1,14.0,36.9,,,,,,,,
Crispus Attucks Elementary School,ES,41.80214349,-87.6257474,95.2,45.0,12.5,Mid-High,22.06657449825577,83.33792596674932,57.0,-6.5339366515837085,-6.781900452488689,0.6040723981900413,5.475113122171948
Crown Community Academy of Fine Arts Center Elementary School,ES,41.85266155,-87.7125068,92.5,27.0,100.5,Low-High,70.97885887694886,0.6062276109120991,52.0,-24.53393665158371,81.21809954751131,-2.0959276018099615,0.47511312217194757
Cyrus H McCormick Elementary School,ES,41.84224508,-87.706336,95.9,,4.7,,,,,,,,
Daniel Boone Elementary School,ES,42.00343519,-87.69750011,95.5,52.0,10.5,High-Mid,1.5578767132407776,85.84550381188573,48.0,0.4660633484162915,-8.781900452488689,0.9040723981900385,-3.5248868778280524
Daniel C Beard Elementary School,ES,41.97009738,-87.78963691,91.9,,0.0,,,,,,,,
Daniel Hale Williams Prep School of Medicine,HS,41.80456384,-87.62448408,91.3,50.0,5.4,,,,,,,,
Daniel J Corkery Elementary School,ES,41.84559878,-87.73122946,94.7,39.0,18.1,,,,,,,,
Daniel R Cameron Elementary School,ES,41.90378521,-87.71796315,92.6,42.0,153.9,,,,,,,,
Daniel S Wentworth Elementary School,ES,41.76728177,-87.64825544,91.6,30.0,73.8,Low-High,47.48979361211363,25.323780655828052,36.0,-21.53393665158371,54.51809954751131,-2.995927601809967,-15.524886877828052
Daniel Webster Elementary School,ES,41.86988904,-87.72748159,94.8,48.0,5.7,High-Mid,9.636502280833,89.82272435014238,66.0,-3.5339366515837085,-13.58190045248869,0.20407239819003564,14.475113122171948
David G Farragut Career Academy High School,HS,41.8485793,-87.70866954,86.1,43.0,18.6,,,,,,,,
DeVry University Advantage Academy High School,HS,41.94142629,-87.6907993,96.7,,0.0,,,,,,,,
Dewey Elementary Academy of Fine Arts,ES,41.7956493,-87.642615,90.7,41.0,26.3,,,,,,,,
DeWitt Clinton Elementary School,ES,41.99256421,-87.69839748,95.3,47.0,14.8,Mid-Low,10.657964824620475,81.41820519886103,52.0,-4.5339366515837085,-4.481900452488688,0.7040723981900356,0.47511312217194757
Disney II Magnet School,ES,41.95048055,-87.73060545,97.3,,0.0,,,,,,,,
Donald Morrill Math & Science Elementary School,ES,41.78428993,-87.68851192,93.4,28.0,19.6,Low-Low,21.605777321006986,75.089556351612,39.0,-23.53393665158371,0.31809954751131286,-1.1959276018099558,-12.524886877828052
Douglas Taylor Elementary School,ES,41.71544589,-87.5330074,95.1,34.0,16.6,,,,,,,,
Dr Jorge Prieto Math and Science,ES,41.92131717,-87.7657438,94.7,,7.0,,,,,,,,
Dr  Martin Luther King  Jr  College Prep High School,HS,41.81369471,-87.60383761,92.9,,4.4,,,,,,,,
Dumas Technology Academy,ES,41.77350389,-87.60105531,92.5,19.0,38.4,,,,,,,,
Dunne Technology Academy,ES,41.69651565,-87.63993763,94.6,46.0,22.8,High-High,22.37338868769398,73.91384219711583,71.0,-5.5339366515837085,3.518099547511312,0.0040723981900328,19.475113122171948
Durkin Park Elementary School,ES,41.73886352,-87.72991927,95.4,61.0,0.7,High-High,20.320881335297507,95.6645540552953,58.0,9.466063348416291,-18.58190045248869,0.8040723981900442,6.475113122171948
