id,school,level,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,safety,attendance,misconduct,instr,teachers,leaders,isat_exc_math,isat_exc_read,isat_va_math,isat_va_read
24,Calmeca Academy of Fine Arts and Dual Language,ES,0.31477329593227243,1.0245705681318351,-0.8076229448938737,1.2428833122523801,0.30121041240332375,0.7556300859972713,-0.431684991006578,-0.39114408548675533,-0.8989618215566325,1.2762592627489213,58.0,96.5,1.9,72.0,55.0,64.0,13.9,10.3,-0.7,1.5
25,Carl von Linne Elementary School,ES,0.8120113320890213,0.6500113913170634,-0.8124157120669155,1.4242685672130702,-0.30121041240332375,-0.697144785223489,0.21146843649297134,-0.07874947478185919,0.9427930589883671,0.6965233237780487,68.0,95.8,1.8,75.0,44.0,37.0,24.8,15.1,1.2,0.9
26,Carrie Jacobs Bond Elementary School,ES,0.1158780814695729,-1.5438352157408732,0.0023547073502335025,0.6987275473703101,-0.9583967667378482,-0.5895318317997289,-0.7857144006393574,-0.6970304751352996,-0.4142894845711063,0.6965233237780487,54.0,91.7,18.8,63.0,32.0,39.0,7.9,5.6,-0.2,0.9
27,Carter G Woodson South Elementary School,ES,-1.276388419769324,-1.436818308079509,2.480215335812975,-3.049901055150617,-0.46550700098695486,-1.073790122206649,-0.9981320464190251,-0.9052935489385636,-0.8989618215566325,-2.492024340561752,26.0,91.9,70.5,1.0,41.0,30.0,4.3,2.4,-0.7,-2.4
28,Cesar E Chavez Multicultural Academic Center Elementary School,ES,0.1158780814695729,0.2754522145022917,-0.36668836497400464,0.033648279181113315,0.02738276476393852,0.3789847490141112,-0.08355607153434486,-0.5148002855574434,1.7182687981652092,-0.1730805846782606,54.0,95.1,11.1,52.0,50.0,57.0,19.8,8.4,2.0,0.0
29,Charles Gates Dawes Elementary School,ES,-0.381359954687176,0.596502937486385,0.8075395924212985,-1.2965102571972802,0.2464448828754467,0.5404041791497513,0.11116010376368388,-0.17637279062713926,0.2642517872086304,0.1167873848071758,44.0,95.7,35.6,30.0,54.0,60.0,23.1,13.6,0.5,0.3
30,Charles N Holden Elementary School,ES,0.06615427785389802,0.16843530684093488,-0.6734254640486961,-0.9942014989294635,0.08214829429181555,0.1637588421665912,-0.266471266511281,-0.3130454328105313,-0.9958962889537379,-0.1730805846782606,53.0,94.9,4.7,35.0,51.0,53.0,16.7,11.5,-0.8,0.0
31,Charles P Caldwell Academy of Math & Science Elementary School,ES,-1.326112223384999,-1.0087506774340587,0.5726940009422378,-0.4500457340473934,-1.3417554734329875,-1.181403075630409,-0.6086996958229677,-0.6189318224590754,0.6519896567970515,-0.26970324117340605,25.0,92.7,30.7,44.0,25.0,28.0,10.9,6.8,0.9,-0.1
32,Charles R Darwin Elementary School,ES,0.31477329593227243,0.542994483655699,0.7212697833065413,-1.054663250583027,-0.19167935334756964,-1.019983645494769,-0.30777469763510523,-0.6124236014027234,-0.4142894845711063,-0.9460618366394244,58.0,95.6,33.8,34.0,46.0,31.0,16.0,6.9,-0.2,-0.8
33,Charles S Brownell Elementary School,ES,-1.5747312414633732,-0.9552422236033803,-0.22290534978274307,1.8475008287880137,-1.6703486506002498,-1.6118548893254492,-0.4906898926120412,-0.4887674013320354,1.233596461179683,-0.5595712106588425,20.0,92.8,14.1,82.0,19.0,20.0,12.9,8.8,1.5,-0.4
34,Charles S Deneen Elementary School,ES,0.16560188508524779,-0.4201576852965657,0.9944575121699385,-0.026813472472450025,-0.02738276476393852,-1.8808872728848491,-0.6972070482311625,-0.6189318224590754,2.493744537342051,-0.656193867153988,55.0,93.8,39.5,51.0,49.0,15.0,9.4,6.8,2.8,-0.5
35,Charles Sumner  Math & Science Community Acad Elementary School,ES,-0.5305313655342007,-0.3666492314658797,-0.30917515889749997,-0.20819872743314005,-0.8488657076820941,-1.073790122206649,-0.4788889122909486,-0.4301934118248674,-1.1897652237479481,-0.07645792818311511,41.0,93.9,12.3,48.0,34.0,30.0,13.1,9.7,-1.0,0.1
36,Christian Ebinger Elementary School,ES,1.3092493682457702,0.7035198451477495,-0.45295817408876154,-0.08727522412601336,0.684569119098463,-1.289016029054169,1.733794897913923,1.5548140103624941,0.2642517872086304,1.1796366062537758,78.0,95.9,9.3,50.0,62.0,26.0,50.6,40.2,0.5,1.4
37,Clara Barton Elementary School,ES,-1.326112223384999,-1.5438352157408732,0.31388457359796695,-1.054663250583027,0.5202725305148319,1.4551142832517114,-0.7739134203182648,-0.6905222540789476,-0.705092886762422,-0.462948554163697,25.0,91.7,25.3,34.0,59.0,77.0,8.1,5.7,-0.5,-0.3
38,Claremont Academy Elementary School,ES,-0.779150383612575,-1.1157675850954232,2.1782710039113256,-0.026813472472450025,0.5202725305148319,0.6480171325735113,-0.5378938138964119,-0.5343249487264995,0.07038285241441991,0.5032780107877577,36.0,92.5,64.2,51.0,59.0,62.0,12.1,8.1,0.3,0.7
39,Columbia Explorers Elementary Academy,ES,0.36449709954794735,0.43597757599434217,-0.47212924278092977,0.6987275473703101,1.2322244143772334,0.8094365627091513,-0.24286930586909555,-0.16335634851443517,0.5550551893999461,1.2762592627489213,59.0,95.4,8.9,63.0,72.0,65.0,17.1,13.8,0.8,1.5
40,Crispus Attucks Elementary School,ES,-0.3316361510715011,0.3289606683329777,-0.2995896245514159,0.33595703744893,1.944176298239635,1.6703401900992314,-0.8034158711209964,-0.4106687486558114,-0.5112239519682115,-2.10553371458117,45.0,95.2,12.5,57.0,85.0,81.0,7.6,10.0,-0.3,-2.0
41,Crown Community Academy of Fine Arts Center Elementary School,ES,-1.226664616153649,-1.1157675850954232,3.918045487725591,0.033648279181113315,-1.0131622962657252,-0.2666929715284489,-1.0217340070612104,-0.4887674013320354,-0.5112239519682115,0.7931459802731942,27.0,92.5,100.5,52.0,31.0,45.0,3.9,8.8,-0.3,1.0
42,Daniel Boone Elementary School,ES,0.016430474238223133,0.4894860298250206,-0.395444968012257,-0.20819872743314005,0.19167935334756964,-0.2666929715284489,0.04625471199767423,0.08395605162694103,0.845858591591262,1.6627498887295031,52.0,95.5,10.5,48.0,53.0,45.0,22.0,17.6,1.1,1.9
43,Daniel S Wentworth Elementary School,ES,-1.0774932053066244,-1.5973436695715593,2.6383766525233625,-0.9337397472759001,-0.9583967667378482,-1.019983645494769,-0.9273261644924692,-0.9638675384457317,0.7489241241941567,-0.7528165236491334,30.0,91.6,73.8,36.0,32.0,31.0,5.5,1.5,1.0,-0.6
44,Daniel Webster Elementary School,ES,-0.18246474022447642,0.11492685301024885,-0.6254977923182755,0.8801128023310001,-0.30121041240332375,-0.21288649481656888,0.27637382825898077,0.3052355675429091,1.7182687981652092,0.5032780107877577,48.0,94.8,5.7,66.0,44.0,46.0,25.9,21.0,2.0,0.7
45,DeWitt Clinton Elementary School,ES,-0.2321885438401513,0.38246912216365614,-0.18935597957144862,0.033648279181113315,-0.73933464862634,-0.4819188783759689,0.7248110804605015,0.35730133599372516,0.3611862546057356,-0.656193867153988,47.0,95.3,14.8,52.0,36.0,41.0,33.5,21.8,0.6,-0.5
46,Donald Morrill Math & Science Elementary School,ES,-1.1769408125379741,-0.634191500619287,0.04069684473456996,-0.7523544923152101,-0.9583967667378482,-0.804757738647249,-0.6618041072678846,-0.6905222540789476,-0.9958962889537379,-1.332552462620006,28.0,93.4,19.6,39.0,32.0,35.0,10.0,5.7,-0.8,-1.2
47,Dunne Technology Academy,ES,-0.2819123474558262,0.007909945348884418,0.19406539427191563,1.1824215605988169,0.5202725305148319,0.05614588874283118,0.20556794633242492,0.057923167401532874,2.493744537342051,1.566127232234358,46.0,94.6,22.8,71.0,59.0,51.0,24.7,17.2,2.8,1.8
48,Durkin Park Elementary School,ES,0.4639447067792971,0.43597757599434217,-0.8651361509703782,0.3964187891024934,1.3417554734329875,2.046985527082392,0.04625471199767423,-0.0006508221056350709,0.5550551893999461,1.2762592627489213,61.0,95.4,0.7,58.0,74.0,88.0,22.0,16.3,0.8,1.5
49,Dvorak Technology Academy,ES,-0.2819123474558262,-0.20612386997383686,-0.6878037655678222,1.0614980572916901,-1.998941827767512,-2.4727585167155293,-0.6027992056624214,-0.3846358644304033,-1.6744375607334743,0.21341004130232133,46.0,94.2,4.4,69.0,13.0,4.0,11.0,10.4,-1.5,0.4
50,Edgar Allan Poe Elementary Classical School,ES,2.353449244174943,1.6131635602693282,-0.8986855211816726,2.2102713387093935,-0.46550700098695486,-1.235209552342289,3.397733123187986,4.1190531065651825,1.4274653959738932,-0.36632589766855156,99.0,97.6,0.0,88.0,41.0,27.0,78.8,79.6,1.7,-0.2
51,Edgebrook Elementary School,ES,2.353449244174943,1.238604383454564,-0.7357314372982428,0.09411003083467666,1.1226933553214793,0.8632430394210313,2.30024195332637,2.635178705716926,-0.22042054977689582,0.3100326977974668,99.0,96.9,3.4,53.0,70.0,66.0,60.2,56.8,0.0,0.5
52,Edward A Bouchet Math & Science Academy Elementary School,ES,-0.9283217944595997,-0.9017337697726943,0.44328928727010236,-0.08727522412601336,0.46550700098695486,0.1637588421665912,-0.9214256743319229,-0.5668660540082595,-0.4142894845711063,-0.1730805846782606,33.0,92.9,28.0,50.0,58.0,53.0,5.6,7.6,-0.2,0.0
53,Edward C Delano Elementary School,ES,-0.6797027763812253,-0.634191500619287,0.07424621494586431,0.033648279181113315,1.6155831210723728,0.7018236092853913,-0.850619792405367,-0.3520947591486433,0.7489241241941567,1.4695045757392124,38.0,93.4,20.3,52.0,79.0,63.0,6.8,10.9,1.0,1.7
54,Edward Coles Elementary Language Academy,ES,-1.4752836342320235,0.2754522145022917,0.2947135049057987,0.15457178248824,0.19167935334756964,0.1099523654547112,-0.266471266511281,-0.6905222540789476,0.7489241241941567,-0.26970324117340605,22.0,95.1,24.9,54.0,53.0,52.0,16.7,5.7,1.0,-0.1
55,Edward Jenner Elementary Academy of the Arts,ES,-0.08301713299312664,-3.0420719229999524,-0.13184277349494403,-0.6314309890080835,-1.2869899439051105,-1.6118548893254492,-0.7680129301577185,-0.9768839805584357,1.7182687981652092,0.02016472831203036,50.0,88.9,16.0,41.0,26.0,20.0,8.2,1.3,2.0,0.2
56,Edward N Hurley Elementary School,ES,1.2595255646300954,0.43597757599434217,-0.3139679260705421,-0.1477369757795767,0.2464448828754467,-0.3743059249522089,-0.28417273699292,-0.30002899069782735,-0.22042054977689582,0.5999006672829033,77.0,95.4,12.2,49.0,54.0,43.0,16.4,11.7,0.0,0.8
